scorer,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems,smart_systems
individuals,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,arm,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person
bodyparts,ankle_l,ankle_l,ankle_r,ankle_r,base,base,chest,chest,elbow_l,elbow_l,elbow_r,elbow_r,finger1,finger1,finger2,finger2,head,head,hip_l,hip_l,hip_r,hip_r,joint_1,joint_1,joint_2,joint_2,joint_3,joint_3,joint_4,joint_4,knee_l,knee_l,knee_r,knee_r,pelvis,pelvis,shoulder_l,shoulder_l,shoulder_r,shoulder_r,wrist_l,wrist_l,wrist_r,wrist_r,ankle_l,ankle_l,ankle_r,ankle_r,base,base,chest,chest,elbow_l,elbow_l,elbow_r,elbow_r,finger1,finger1,finger2,finger2,head,head,hip_l,hip_l,hip_r,hip_r,joint_1,joint_1,joint_2,joint_2,joint_3,joint_3,joint_4,joint_4,knee_l,knee_l,knee_r,knee_r,pelvis,pelvis,shoulder_l,shoulder_l,shoulder_r,shoulder_r,wrist_l,wrist_l,wrist_r,wrist_r
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
17,,,,,0.870266231377324,1.0,,,,,,,2.706889723181545,1.0,3.4424491951150356,1.0,,,,,,,0.5986732943131045,1.0,1.7021189047336065,1.0,1.4967469082783553,1.0,1.3457828604172832,1.0,,,,,,,,,,,,,,,1.5720150287636592,1.0,0.5229920586483554,1.0,,,1.407317844997471,1.0,1.2124466004804637,1.0,,,,,,,1.1483695366115434,1.0,1.553899412229311,1.0,1.5587098550241798,1.0,,,,,,,,,,,,,0.8771872009044464,1.0,1.2366914743176096,1.0,0.35855552979205835,1.0,1.049026757429653,1.0,2.451331352309464,1.0
18,,,,,1.2352387024302902,1.0,,,,,,,2.575029896845247,1.0,0.3538458926157723,1.0,,,,,,,0.4772011102293843,1.0,1.5760869223690033,1.0,1.1170343609287285,1.0,0.976492986948634,1.0,,,,,,,,,,,,,,,0.4875551519499393,1.0,1.827520893379466,1.0,,,0.5723440301973101,1.0,0.5214627979929388,1.0,0.4778435818405844,1.0,,,,,2.190424099353929,1.0,0.6569446711738623,1.0,0.854130794618406,1.0,,,,,,,,,,,,,1.8014821984708322,1.0,2.807884219091434,1.0,1.545830445257272,1.0,0.9812847413181272,1.0,1.1728016072849499,1.0
19,,,,,0.27456165945591227,1.0,,,,,,,1.2264895873887414,1.0,2.166527633286643,1.0,,,,,,,0.8177422002763496,1.0,2.7593974453163894,1.0,0.7781935734794453,1.0,2.742317368078581,1.0,,,,,,,,,,,,,,,1.9975087012124262,1.0,2.1634981581940362,1.0,,,0.6388223604491947,1.0,1.1889564751778383,1.0,1.6518079195084276,1.0,,,,,2.472590551374738,1.0,0.7076011633501164,1.0,2.5392412172965204,1.0,,,,,,,,,,,,,0.5192558734533449,1.0,0.2684466491459494,1.0,3.3522898197754714,1.0,0.28595811868429644,1.0,1.1973772424153741,1.0
20,,,,,1.4016388669600652,1.0,,,,,,,2.420501176160576,1.0,2.4664711591482322,1.0,,,,,,,2.0193111955391254,1.0,4.061143550290784,1.0,1.868131273909177,1.0,1.2142340950257242,1.0,,,,,,,,,,,,,,,1.402243508299184,1.0,2.2329596007281154,1.0,,,1.1103233515199142,1.0,1.5824270545739254,1.0,2.0245093908210707,1.0,,,,,1.34624220953734,1.0,0.5504807164574365,1.0,0.8219202805728736,1.0,,,,,,,,,,,,,0.6649774402561511,1.0,1.9668885221598973,1.0,1.1593598739496493,1.0,,,1.2376031532818048,1.0
21,,,,,0.7473769084488515,1.0,,,,,,,2.416533201578185,1.0,1.3420000592497308,1.0,,,,,,,3.084207285685395,1.0,1.0749601072306647,1.0,4.294500997687271,1.0,2.351159145716123,1.0,,,,,,,,,,,,,,,,,,,,,0.7997503250135432,1.0,,,1.5449160779452715,1.0,,,,,2.7482099395431647,1.0,1.6676823162102834,1.0,1.8251006817176916,1.0,,,,,,,,,1.2409284410358206,1.0,1.5227153048069157,1.0,1.4422536848520366,1.0,2.491450036832904,1.0,2.0275957509031723,1.0,0.8901685642620031,1.0,1.3812225789261168,1.0
22,,,,,2.6940571334393244,1.0,,,,,,,0.7476632750060033,1.0,3.032981346859272,1.0,,,,,,,0.5668410049212229,1.0,1.8361768486276493,1.0,1.6855564722211882,1.0,0.944343818322935,1.0,,,,,,,,,,,,,,,,,,,,,1.9300934414853739,1.0,0.5061122433526495,1.0,0.9803204110352681,1.0,,,,,2.2684618484438563,1.0,1.634077169039901,1.0,1.8985927496045332,1.0,,,,,,,,,3.1282572056256615,1.0,2.0843660182123913,1.0,0.8052276745742679,1.0,2.4507930660606854,1.0,0.4534454992884493,1.0,0.7105041076263965,1.0,1.6938274753494573,1.0
23,,,,,4.137735780437633,1.0,,,,,,,5.326153948254026,1.0,12.558009719518004,1.0,,,,,,,3.034912032170737,1.0,5.183740579534441,1.0,3.0269257541603496,1.0,2.9939677190427574,1.0,,,,,,,,,,,,,,,,,,,,,0.5889820652559045,1.0,5.531819789147451,1.0,6.824888785337001,1.0,,,,,5.062439035039802,1.0,1.3259775406223695,1.0,5.211476931454552,1.0,,,,,,,,,7.273798653043629,1.0,8.16155032397414,1.0,3.1888267724140213,1.0,0.8213908445825564,1.0,2.4232501493198844,1.0,0.602841010710166,1.0,3.815174431007822,1.0
24,,,,,2.8493015376388935,1.0,,,,,,,1.0931359089112587,1.0,2.3809782080264705,1.0,,,,,,,0.855909944913441,1.0,1.7773467035868484,1.0,2.3620316128939662,1.0,2.7474738383556234,1.0,,,,,,,,,,,,,,,,,,,,,1.0866249433139066,1.0,0.6564524198361206,1.0,0.24695572307153724,1.0,,,,,1.2240748984360932,1.0,0.8178291200967421,1.0,2.9844077581621016,1.0,,,,,,,,,0.38336014178064903,1.0,0.7797280017708109,1.0,1.3432475381507802,1.0,1.3379406498716249,1.0,2.2958684425893203,1.0,0.8859196178565758,1.0,1.5110131781285714,1.0
25,,,,,3.914956240415904,1.0,,,,,,,1.807170501790525,1.0,1.3434787393797312,1.0,,,,,,,1.2908121919227662,1.0,1.0238530287895935,1.0,5.431828505644338,1.0,0.9990425561196836,1.0,,,,,,,,,,,,,,,,,,,,,1.3409053206676542,1.0,0.5576352164030911,1.0,0.49245901485391114,1.0,,,,,1.253713953101034,1.0,0.9877038048217524,1.0,1.1910432600271836,1.0,,,,,,,,,1.0913459527655311,1.0,1.2393003283397122,1.0,1.0841914898203115,1.0,0.8053321218893121,1.0,1.9212071551251604,1.0,0.9698672540036664,1.0,1.8445913889283267,1.0
26,,,,,2.1548693333364395,1.0,,,,,,,0.4956217556404569,1.0,1.5910628111372835,1.0,,,,,,,3.178179576411892,1.0,0.24178303868893977,1.0,1.9191368705263285,1.0,0.9251148682337548,1.0,,,,,,,,,,,,,,,2.3302381544348187,1.0,,,,,1.0917404343355883,1.0,0.5193380701313987,1.0,3.4983436968026744,1.0,,,,,0.5250309792209851,1.0,,,0.6300408638345966,1.0,,,,,,,,,0.6531154221808559,1.0,1.4729119059340143,1.0,0.9597319873378704,1.0,2.1064779068461217,1.0,3.191996753041163,1.0,1.8199187094521527,1.0,3.37524674150576,1.0
